"EXERCISE","SHEET","GROUPID","TEAMID","ASSIGNMENT","PHYSICAL_FILENAME","DELETE_TIMESTAMP"
"GdP23","02","05","10","4","20231113240431-Zahlen.fs","20231113240514"
"GdP23","02","05","10","4","20231113240431-Zahlen.fsproj","20231113240515"
"GdP23","02","05","10","4","20231113240431-Zahlen.AssemblyInfo.fs","20231113240504"
"GdP23","02","05","10","4","20231113240431-Zahlen.AssemblyInfoInputs.cache","20231113240512"
"GdP23","02","05","10","4","20231113240431-Zahlen.fsproj.AssemblyReference.cache","20231113240517"
"GdP23","02","05","10","4","20231113240431-Zahlen.fsproj.FileListAbsolute.txt","20231113240518"
"GdP23","02","02","20","3","20231113240503-Übung2_Aufgabe2.pdf","20231113240516"
"GdP23","02","05","10","4","20231113240531-Zahlen.fs","20231113011735"
"GdP23","02","05","10","4","20231113240531-Mini.fs","20231113011735"
"GdP23","02","05","10","4","20231113240531-Zahlen.AssemblyInfo.fs","20231113011735"
"GdP23","02","05","10","4","20231113240531-Zahlen.fsproj","20231113011735"
"GdP23","02","05","10","4","20231113240531-Zahlen.AssemblyInfoInputs.cache","20231113011735"
"GdP23","02","05","10","4","20231113240531-Zahlen.fsproj.FileListAbsolute.txt","20231113011735"
"GdP23","02","05","10","4","20231113240531-Zahlen.fsproj.AssemblyReference.cache","20231113011735"
"GdP23","02","01","6","4","20231113241936-Einfalt-Lars-Übung-2(GDP).pdf","20240102174513"
"GdP23","02","05","10","3","20231113011657-a3.pdf","20231113012028"
"GdP23","02","05","10","2","20231113011703-a2.pdf","20231113012018"
"GdP23","02","05","10","4","20231113011735-Zahlen.fs","20231113141939"
"GdP23","02","05","10","4","20231113011735-Mini.fs","20231113141928"
"GdP23","02","05","10","4","20231113011735-Zahlen.fsproj","20231113141941"
"GdP23","02","05","10","4","20231113011735-Zahlen.AssemblyInfo.fs","20231113141931"
"GdP23","02","05","10","4","20231113011735-Zahlen.AssemblyInfoInputs.cache","20231113141934"
"GdP23","02","05","10","4","20231113011735-Zahlen.fsproj.FileListAbsolute.txt","20231113141936"
"GdP23","02","05","10","4","20231113011735-Zahlen.fsproj.AssemblyReference.cache","20231113141943"
"GdP23","02","03","4","4","20231113011858-Zahlen.fs","20231113012520"
"GdP23","02","03","4","4","20231113012528-Zahlen.fs","20231113013420"
"GdP23","02","03","4","4","20231113013426-Zahlen.fs","20231113015649"
"GdP23","02","04","19","4","20231113015510-Zahlen.fs","20231113015554"
"GdP23","02","04","19","4","20231113015510-Mini.fs","20231113015549"
"GdP23","02","04","19","4","20231113015510-Zahlen.fsproj","20231113015555"
"GdP23","02","04","19","4","20231113015510-Zahlen.AssemblyInfo.fs","20231113015551"
"GdP23","02","04","19","4","20231113015510-Zahlen.AssemblyInfoInputs.cache","20231113015552"
"GdP23","02","04","19","4","20231113015510-Zahlen.fsproj.AssemblyReference.cache","20231113015556"
"GdP23","02","04","19","4","20231113015510-Zahlen.fsproj.FileListAbsolute.txt","20231113015557"
"GdP23","02","04","19","4","20231113015607-Zahlen.fs","20231113015845"
"GdP23","02","04","19","4","20231113015607-Mini.fs","20231113015847"
"GdP23","02","04","19","4","20231113015607-Zahlen.fsproj","20231113015844"
"GdP23","02","04","19","4","20231113015607-Zahlen.AssemblyInfo.fs","20231113015846"
"GdP23","02","04","19","4","20231113015607-Zahlen.AssemblyInfoInputs.cache","20231113015845"
"GdP23","02","04","19","4","20231113015607-Zahlen.fsproj.AssemblyReference.cache","20231113015842"
"GdP23","02","04","19","4","20231113015607-Zahlen.fsproj.FileListAbsolute.txt","20231113015841"
"GdP23","02","04","19","4","20231113015916-Zahlen.fs","20231113020041"
"GdP23","02","04","19","4","20231113020104-Zahlen.fs","20231113020209"
"GdP23","02","04","19","4","20231113020104-Mini.fs","20231113020211"
